Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
47400,88100,46800,62800,122000,154000
47100,87900,45400,62900,120000,172000
48900,87800,47400,62400,118000,170000
46900,87800,43700,61300,120000,165000
45700,87000,45400,62500,119000,158000
47800,86900,51300,67200,114000,150000
45400,86600,50900,65000,113000,158000
47300,86400,45100,62700,114000,150000
47500,86100,44800,61700,117000,160000
48400,86000,50500,61800,111000,150000
44100,86000,43100,57800,118000,164000
49900,85700,46300,62000,117000,160000
48800,85300,47000,59800,115000,149000
46300,85300,44200,61500,119000,170000
43900,85300,45400,60100,112000,157000
46200,85200,45500,61800,116000,158000
45400,84700,45400,62700,109000,145000
45300,84700,43600,59000,113000,162000
45100,84700,47400,62500,113000,154000
45400,84600,44400,60000,109000,147000
45900,84500,44500,64000,119000,165000
46100,84400,46400,58600,105000,144000
49200,84300,46000,62400,115000,155000
47300,84200,50200,59800,110000,162000
46200,84200,49000,63200,112000,148000
47400,84100,44600,60700,114000,163000
44700,84100,46100,62000,121000,165000
46300,84000,43600,60400,119000,178000
44700,83900,43300,61100,116000,163000
44900,83700,45500,60700,116000,162000
47200,83300,49200,64800,112000,153000
45100,83300,46900,64000,113000,146000
45400,83200,43000,58400,116000,148000
46500,82900,41900,54600,113000,143000
44700,82900,41200,60300,114000,167000
44100,82800,43200,60700,113000,160000
44800,82700,44700,58000,122000,194000
43100,82700,46100,67800,106000,132000
47800,82400,42900,59600,111000,154000
44900,82000,43000,56700,104000,142000
47500,81700,44700,58800,110000,146000
46200,81700,45900,61400,110000,147000
42400,81600,44800,57200,115000,156000
41600,81600,41800,59100,105000,141000
42900,81500,43400,57500,117000,155000
41300,81400,40100,56500,117000,161000
46800,81300,37200,59900,109000,134000
42300,81300,39300,47600,117000,173000
41700,81000,43500,57100,111000,156000
45700,80900,42200,56600,113000,156000
45400,80800,46400,61200,106000,138000
43600,80800,43900,60200,111000,161000
42800,80700,40100,56500,114000,151000
44000,80600,43400,56400,111000,157000
45500,80400,44500,57800,108000,153000
46000,79900,42000,56200,106000,141000
41400,79700,40400,53500,108000,186000
44300,79500,37400,53800,102000,131000
46500,79400,38700,51600,114000,158000
44500,79300,43300,58800,108000,151000
44800,79000,43800,57100,112000,150000
43300,79000,37200,54100,106000,138000
44500,78700,41500,54000,105000,145000
43800,78700,41600,55400,101000,132000
45800,78500,48400,61200,100000,139000
42200,78400,38100,56200,117000,186000
42800,78300,43000,57300,107000,149000
41800,78300,41700,56400,114000,147000
45600,78200,36300,53800,109000,151000
43100,78100,39700,55700,106000,141000
47000,77800,46900,59100,105000,130000
45100,77800,39000,55800,100000,123000
38000,77800,40400,53000,115000,169000
43200,77700,43300,56200,107000,132000
46600,77500,40200,58100,111000,151000
37500,76700,40000,54300,97700,155000
41100,76300,42000,54500,107000,163000
40800,76200,38400,54100,105000,136000
42800,76100,40100,56200,101000,139000
43800,76000,40400,56300,104000,128000
43100,75900,40100,54100,100000,133000
43200,75500,40500,55800,98200,136000
40800,75500,38200,53500,99300,150000
42700,75400,41300,56700,99200,119000
43300,74700,39500,53800,95700,140000
43800,74600,41900,53200,106000,153000
42300,74600,40600,54000,93700,123000
39200,74500,32800,46100,110000,161000
45700,74000,44000,53100,104000,150000
43100,74000,38200,53200,99500,133000
41800,74000,43000,55300,99900,145000
42300,73800,40100,52500,103000,135000
41100,73500,34100,49900,99400,129000
44900,73400,35400,49600,101000,143000
42200,73400,36600,52800,106000,150000
42000,73400,39100,55200,105000,142000
43500,73100,39500,51600,97000,137000
42100,73000,39600,52800,107000,156000
45900,72600,39800,56600,99300,137000
42400,72600,43300,56100,99600,151000
41500,72600,39500,54400,97400,126000
43000,72500,38300,51300,99300,139000
43400,72100,37700,50400,99500,133000
42700,72100,30800,47000,92200,132000
41200,72100,41700,55600,99300,141000
40300,72100,37900,52800,95400,135000
39800,72100,38200,51800,101000,146000
37300,71900,37000,51500,96400,138000
42600,71700,39500,51500,98400,125000
40000,71700,36300,49900,98400,131000
45200,71600,39000,52400,100000,128000
41800,71400,38700,49400,101000,126000
40700,71400,40900,53100,84900,119000
38000,71400,33700,50500,94100,121000
42600,71300,36000,56300,94400,117000
42600,71100,40700,53000,99500,137000
41100,71100,39600,51500,98100,131000
42600,70900,40700,52300,94400,123000
38600,70900,36000,50500,93100,117000
42500,70700,39100,49800,92700,121000
41100,70300,40600,53300,95200,127000
38000,70300,35100,51200,100000,179000
39200,70100,43000,53400,91400,125000
41400,69700,36100,49100,93500,127000
40800,69500,37400,48700,87500,110000
36100,69500,33300,46900,102000,134000
42200,69300,37500,47200,93100,133000
40400,69100,37200,50400,90800,115000
42000,68400,37400,51900,100000,123000
43600,68300,40900,50600,91600,136000
40200,67500,38400,52000,98700,151000
42400,67100,27000,44100,84900,110000
41400,67100,36800,49600,97600,144000
